,BKR
Price/Earnings (TTM),
Price/Sales (TTM),0.61208
Price/Book (MRQ),0.80924
Price/Cash Flow (TTM),
5yr Low,9.12
5yr High,68.59
5yr Avg Return,-0.15743333333333331
EPS Growth 5yr,-0.4328373
Revenue Growth 5yr,-0.005877
Dividend Growth 5yr,0.0238363
Short Int Current Month,14272088.0
Short Int Prev Month,15112131.0
Short Int Pct of Float,0.0218759
Days to Cover,2.13797
Float,653.7241
Shares Outstanding,1032.463
Institutions Holding Shares,729.0
% Held by Institutions,0.935845
FCF Growth 5yr,0.18901998436665196
