,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2017,Neutral,3.05,,,2.99,,3.12,,3.055,3.05,,
Year ending 12/2018,Neutral,3.3,,0.08196721311475419,3.29,0.10033444816053505,3.4,0.08974358974358965,3.3449999999999998,3.3,0.08196721311475419,0.09503901895206235
Year ending 12/2019,Neutral,3.61,,0.09393939393939399,3.59,0.09118541033434635,3.7,0.08823529411764719,3.645,3.61,0.09393939393939399,0.08971035222599677
Year ending 12/2020,Neutral,,3.85,0.0,3.8,0.058495821727019504,3.96,0.07027027027027022,3.85,3.85,0.06648199445983383,0.06438304599864486
Year ending 12/2021,Neutral,,4.23,0.0,4.13,0.08684210526315783,4.36,0.101010101010101,4.23,4.23,0.09870129870129873,0.09392610313662941
