,AWK
% Below High,0.16699999999999998
% Held by Institutions,0.8523000000000001
52-Wk Range,['92.00 - 141.70']
Annual Dividend $,2.2
Annual Dividend %,0.018500000000000003
Ask,118.8
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,0.2
Bid,118.0
Bid Size,100.0
Change Since Close,0.47| |(0.40%)
Closing Price,118.03
Day Change $,-1.05
Day Change %,-0.0088
Day High,120.31
Day Low,117.52
Dividend Pay Date,2020-06-02 00:00:00
"EPS (TTM, GAAP)",3.49
Ex-dividend,2020-05-11 00:00:00
Ex-dividend Date,05/11/20
Historical Volatility,0.41100000000000003
Last (size),50.0
Last (time),6:30p ET 05/08/20
Last Trade,118.5
Market Cap,21.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",34.1
Prev Close,119.08
Shares Outstanding,181.0M
Short Interest,0.0124
Today's Open,119.17
Volume,1068669.0
Volume 10-day Avg,1015178.0
Volume Past Day,(Average)
