,AWK
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.058495821727019504
Growth 1yr High Est,0.07027027027027022
Growth 1yr Consensus Est,0.06438304599864486
Growth 2yr Low Est,0.07266896349508867
Growth 2yr High Est,0.0856401856401856
Growth 2yr Consensus Est,0.07915457456763714
Growth 5yr Low Est,0.08421444637126468
Growth 5yr High Est,0.08731481378540201
Growth 5yr Consensus Est,0.08576463007833335
Growth 5yr Actual/Est,0.08527247505382018
Growth 3yr Historic,0.043976651763537045
