,WEC
Price/Earnings (TTM),23.26522
Price/Sales (TTM),3.72557
Price/Book (MRQ),2.61274
Price/Cash Flow (TTM),12.81116
5yr Low,44.93
5yr High,109.53
5yr Avg Return,0.10961666666666665
EPS Growth 5yr,0.06725880000000001
Revenue Growth 5yr,0.0852649
Dividend Growth 5yr,0.0863193
Short Int Current Month,4856321.0
Short Int Prev Month,5294302.0
Short Int Pct of Float,0.0154229
Days to Cover,2.88968
Float,314.8843
Shares Outstanding,315.4345
Institutions Holding Shares,1127.0
% Held by Institutions,0.740633
FCF Growth 5yr,4.698279857397504
