,WEC
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.042735042735042805
Growth 1yr High Est,0.06515580736543902
Growth 1yr Consensus Est,0.053945425050240914
Growth 2yr Low Est,0.05825276726916073
Growth 2yr High Est,0.07114173346995356
Growth 2yr Consensus Est,0.06469725036955715
Growth 5yr Low Est,0.06464331768092618
Growth 5yr High Est,0.06488634292545298
Growth 5yr Consensus Est,0.06476483030318958
Growth 5yr Actual/Est,0.06178877252890891
Growth 3yr Historic,0.033887638735268344
