,WEC,Rating Since
newConstructs,4,2020-05-08
researchTeam,reduce,2019-02-12
marketEdge opinion,avoid,2020-05-08
marketEdge,0,2020-05-08
cfra,1,2020-01-31
theStreet,buy,2010-08-15
creditSuisse,underperform,2019-08-06
ford,2,2020-04-17
