,HBAN
% Above Low,0.2683
% Held by Institutions,0.7445
52-Wk Range,['6.82 - 15.63']
Annual Dividend $,0.6
Annual Dividend %,0.0727
Ask,8.74
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.6
Bid,8.61
Bid Size,500.0
Closing Price,8.65
Day Change $,0.4
Day Change %,0.048499999999999995
Day High,8.7
Day Low,8.43
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",0.98
Ex-dividend,2020-06-16 00:00:00
Ex-dividend Date,06/16/20
Historical Volatility,0.509
Last (size),500.0
Last (time),4:00p ET 05/08/20
Market Cap,8.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.45
Prev Close,8.25
Shares Outstanding,1.0B
Short Interest,0.029500000000000002
Today's Open,8.51
Volume,6504707.0
Volume 10-day Avg,11671649.0
Volume Past Day,(Light)
