,GE
Price/Earnings (TTM),9.96477
Price/Sales (TTM),0.57138
Price/Book (MRQ),1.51496
Price/Cash Flow (TTM),4.92351
5yr Low,5.9
5yr High,33.0
5yr Avg Return,-0.1308
EPS Growth 5yr,
Revenue Growth 5yr,-0.0393924
Dividend Growth 5yr,-0.461091
Short Int Current Month,109712783.0
Short Int Prev Month,96926399.0
Short Int Pct of Float,0.0125678
Days to Cover,1.20411
Float,8735.466
Shares Outstanding,8747.092
Institutions Holding Shares,2200.0
% Held by Institutions,0.61918
FCF Growth 5yr,-0.436564587742929
