,GE
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-1.0792079207920793
Growth 1yr High Est,-0.6956521739130435
Growth 1yr Consensus Est,-0.8874300473525614
Growth 2yr Low Est,-2.6021039603960396
Growth 2yr High Est,0.009316770186335477
Growth 2yr Consensus Est,-1.2963935951048522
Growth 5yr Low Est,-1.3010519801980198
Growth 5yr High Est,0.004658385093167738
Growth 5yr Consensus Est,-0.6481967975524261
Growth 5yr Actual/Est,0.2842490842490843
Growth 3yr Historic,-0.09523809523809523
