,GE
% Above Low,0.0661
% Held by Institutions,0.6192
52-Wk Range,['5.90 - 13.26']
Annual Dividend $,0.04
Annual Dividend %,0.006500000000000001
Ask,6.28
Ask Size,23600.0
B/A Ratio,0.05508474576271186
B/A Size,1300x23600
Beta,1.0
Bid,6.27
Bid Size,1300.0
Closing Price,6.29
Day Change $,0.18
Day Change %,0.029500000000000002
Day High,6.33
Day Low,6.16
Dividend Pay Date,2020-04-27 00:00:00
"EPS (TTM, GAAP)",0.61
Ex-dividend,2020-03-06 00:00:00
Ex-dividend Date,03/06/20
Historical Volatility,0.5660000000000001
Last (size),200.0
Last (time),6:30p ET 05/08/20
Market Cap,55.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",9.96
Prev Close,6.11
Shares Outstanding,8.7B
Short Interest,0.0126
Today's Open,6.21
Volume,93934568.0
Volume 10-day Avg,135447247.0
Volume Past Day,(Light)
