,NTAP
Next Earnings Announcement,2020-05-27 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,-0.2254464285714286
Growth 1yr High Est,-0.07391304347826089
Growth 1yr Consensus Est,-0.14967973602484475
Growth 2yr Low Est,-0.20638315664882673
Growth 2yr High Est,0.03816084915288842
Growth 2yr Consensus Est,-0.08411115374796915
Growth 5yr Low Est,0.04583854135347962
Growth 5yr High Est,0.16822151337270536
Growth 5yr Consensus Est,0.10703002736309249
Growth 5yr Actual/Est,0.11631221283965412
Growth 3yr Historic,0.14341398275115852
