,NTAP
% Above Low,0.2954
% Held by Institutions,0.9995999999999999
52-Wk Range,['34.66 - 70.37']
Annual Dividend $,1.92
Annual Dividend %,0.0446
Ask,45.4
Ask Size,500.0
B/A Ratio,0.8
B/A Size,400x500
Beta,1.3
Bid,44.9
Bid Size,400.0
Closing Price,44.9
Day Change $,1.89
Day Change %,0.043899999999999995
Day High,44.98
Day Low,43.31
Dividend Pay Date,2020-04-22 00:00:00
"EPS (TTM, GAAP)",4.27
Ex-dividend,2020-04-02 00:00:00
Ex-dividend Date,04/02/20
Historical Volatility,0.521
Last (size),50.0
Last (time),3:59p ET 05/08/20
Market Cap,9.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.08
Prev Close,43.01
Shares Outstanding,221.2M
Short Interest,0.0381
Today's Open,43.31
Volume,1553086.0
Volume 10-day Avg,2170329.0
Volume Past Day,(Light)
