,DOW
Price/Earnings (TTM),
Price/Sales (TTM),0.5828
Price/Book (MRQ),1.8854
Price/Cash Flow (TTM),21.61013
5yr Low,21.95
5yr High,60.52
5yr Avg Return,-0.17045000000000002
Short Int Current Month,13858566.0
Short Int Prev Month,12823534.0
Short Int Pct of Float,0.0186735
Days to Cover,1.65561
Float,738.1764
Shares Outstanding,740.7308
Institutions Holding Shares,1477.0
% Held by Institutions,0.682811
FCF Growth 5yr,-1.2919718653545278
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
