,DOW
% Above Low,0.564
% Held by Institutions,0.6828
52-Wk Range,['21.95 - 56.25']
Annual Dividend $,2.8
Annual Dividend %,0.0852
Ask,34.55
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,
Bid,34.34
Bid Size,500.0
Closing Price,34.33
Day Change $,1.48
Day Change %,0.0451
Day High,34.37
Day Low,33.37
Dividend Pay Date,2020-06-12 00:00:00
"EPS (TTM, GAAP)",-2.24
Ex-dividend,2020-05-28 00:00:00
Ex-dividend Date,05/28/20
Historical Volatility,0.588
Last (size),12.0
Last (time),6:30p ET 05/08/20
Market Cap,25.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,32.85
Shares Outstanding,740.7M
Short Interest,0.0187
Today's Open,33.78
Volume,4324506.0
Volume 10-day Avg,6128051.0
Volume Past Day,(Light)
