,JKHY
Next Earnings Announcement,2020-08-18 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.08882521489971329
Growth 1yr High Est,0.09065155807365444
Growth 1yr Consensus Est,0.08973838648668386
Growth 2yr Low Est,0.0536231337656462
Growth 2yr High Est,0.11805305176409997
Growth 2yr Consensus Est,0.08583809276487309
Growth 5yr Low Est,0.055565560493046784
Growth 5yr High Est,0.08976888782218351
Growth 5yr Consensus Est,0.07266722415761515
Growth 5yr Actual/Est,0.07155443993351562
Growth 3yr Historic,0.03450425053957629
