,JKHY
% Below High,0.0155
% Held by Institutions,0.8976999999999999
52-Wk Range,['123.64 - 185.67']
Annual Dividend $,1.72
Annual Dividend %,0.009399999999999999
Ask,182.78
Ask Size,1300.0
B/A Ratio,2.4615384615384617
B/A Size,3200x1300
Beta,0.6
Bid,182.0
Bid Size,3200.0
Closing Price,182.79
Day Change $,-1.02
Day Change %,-0.0055000000000000005
Day High,185.67
Day Low,182.4
Dividend Pay Date,2020-03-19 00:00:00
"EPS (TTM, GAAP)",3.85
Ex-dividend,2020-02-28 00:00:00
Ex-dividend Date,02/28/20
Historical Volatility,0.34299999999999997
Last (size),3.0
Last (time),4:15p ET 05/08/20
Market Cap,14.0B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",47.77
Prev Close,183.81
Shares Outstanding,76.7M
Short Interest,0.030699999999999998
Today's Open,184.31
Volume,479323.0
Volume 10-day Avg,656520.0
Volume Past Day,(Light)
