,JKHY
Price/Earnings (TTM),47.76891
Price/Sales (TTM),8.39375
Price/Book (MRQ),
Price/Cash Flow (TTM),29.92653
5yr Low,63.84
5yr High,185.55
5yr Avg Return,0.19515000000000005
EPS Growth 5yr,0.0996133
Revenue Growth 5yr,0.057656400000000003
Dividend Growth 5yr,0.1288813
Short Int Current Month,2338253.0
Short Int Prev Month,2027601.0
Short Int Pct of Float,0.0307263
Days to Cover,3.85766
Float,76.09859
Shares Outstanding,76.71959
Institutions Holding Shares,804.0
% Held by Institutions,0.8976909999999999
FCF Growth 5yr,0.03323705505301986
