,BXP
% Above Low,0.12560000000000002
% Held by Institutions,0.9771
52-Wk Range,['77.21 - 147.83']
Annual Dividend $,3.92
Annual Dividend %,0.045700000000000005
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,87.01
Bid Size,
Change Since Close,0.00| |(0.00%)
Closing Price,86.91
Day Change $,1.06
Day Change %,0.0123
Day High,88.6
Day Low,86.13
Dividend Pay Date,2020-04-30 00:00:00
"EPS (TTM, GAAP)",5.87
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.44799999999999995
Last (size),49.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,13.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",14.63
Prev Close,85.85
Shares Outstanding,155.3M
Short Interest,0.0148
Today's Open,87.86
Volume,1843639.0
Volume 10-day Avg,1423549.0
Volume Past Day,(Heavy Day)
