,BXP
Price/Earnings (TTM),14.62581
Price/Sales (TTM),4.46324
Price/Book (MRQ),2.28011
Price/Cash Flow (TTM),7.52548
5yr Low,77.21
5yr High,147.83
5yr Avg Return,-0.048583333333333326
EPS Growth 5yr,0.0315311
Revenue Growth 5yr,0.043136900000000006
Dividend Growth 5yr,0.07885239999999999
Short Int Current Month,2301432.0
Short Int Prev Month,2250683.0
Short Int Pct of Float,0.014840800000000001
Days to Cover,1.58012
Float,155.0802
Shares Outstanding,155.309
Institutions Holding Shares,740.0
% Held by Institutions,0.9771420000000001
FCF Growth 5yr,-0.9596108807675149
