,HPE
% Above Low,0.37950000000000006
% Held by Institutions,0.8423999999999999
52-Wk Range,['7.43 - 17.59']
Annual Dividend $,0.48
Annual Dividend %,0.0501
Ask,10.24
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,10.21
Bid Size,200.0
Closing Price,10.25
Day Change $,0.67
Day Change %,0.0699
Day High,10.28
Day Low,9.71
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",0.97
Ex-dividend,2020-06-09 00:00:00
Ex-dividend Date,06/09/20
Historical Volatility,0.48700000000000004
Last (size),83.0
Last (time),6:30p ET 05/08/20
Market Cap,13.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.83
Prev Close,9.58
Shares Outstanding,1.3B
Short Interest,0.0232
Today's Open,9.76
Volume,7173635.0
Volume 10-day Avg,7768797.0
Volume Past Day,(Average)
