,HPE
Price/Earnings (TTM),9.82957
Price/Sales (TTM),0.43259
Price/Book (MRQ),0.72063
Price/Cash Flow (TTM),3.17283
5yr Low,7.43
5yr High,24.88
5yr Avg Return,-0.03876666666666667
EPS Growth 5yr,0.0509741
Revenue Growth 5yr,-0.1197289
Dividend Growth 5yr,
Short Int Current Month,29868089.0
Short Int Prev Month,28808716.0
Short Int Pct of Float,0.023235000000000002
Days to Cover,3.65539
Float,1285.077
Shares Outstanding,1288.342
Institutions Holding Shares,1074.0
% Held by Institutions,0.842442
FCF Growth 5yr,28.641688901602528
