,KMI
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.5483870967741936
Growth 1yr High Est,0.010000000000000009
Growth 1yr Consensus Est,-0.2691935483870968
Growth 2yr Low Est,-0.024193548387096808
Growth 2yr High Est,0.024801980198019824
Growth 2yr Consensus Est,0.0003042159054615079
Growth 5yr Low Est,0.10400853889943076
Growth 5yr High Est,0.1778783659149188
Growth 5yr Consensus Est,0.14094345240717476
Growth 5yr Actual/Est,0.09668000812986552
Growth 3yr Historic,0.10397514470548175
