,Symbol
0,A
1,AAL
2,AAP
3,AAPL
4,ABBV
5,ABC
6,ABMD
7,ABT
8,ACN
9,ADBE
10,ADI
11,ADM
12,ADP
13,ADS
14,ADSK
15,AEE
16,AEP
17,AES
18,AFL
19,AGN
20,AIG
21,AIV
22,AIZ
23,AJG
24,AKAM
25,ALB
26,ALGN
27,ALK
28,ALL
29,ALLE
30,ALXN
31,AMAT
32,AMCR
33,AMD
34,AME
35,AMGN
36,AMP
37,AMT
38,AMZN
39,ANET
40,ANSS
41,ANTM
42,AON
43,AOS
44,APA
45,APD
46,APH
47,APTV
48,ARE
49,ARNC
50,ATO
51,ATVI
52,AVB
53,AVGO
54,AVY
55,AWK
56,AXP
57,AZO
58,BA
59,BAC
60,BAX
61,BBY
62,BDX
63,BEN
64,BF.B
65,BIIB
66,BK
67,BKNG
68,BKR
69,BLK
70,BLL
71,BMY
72,BR
73,BRK.B
74,BSX
75,BWA
76,BXP
77,C
78,CAG
79,CAH
80,CAT
81,CB
82,CBRE
83,CCI
84,CCL
85,CDNS
86,CDW
87,CE
88,CERN
89,CF
90,CFG
91,CHD
92,CHRW
93,CHTR
94,CI
95,CINF
96,CL
97,CLX
98,CMA
99,CMCSA
100,CME
101,CMG
102,CMI
103,CMS
104,CNC
105,CNP
106,COF
107,COG
108,COO
109,COP
110,COST
111,COTY
112,CPB
113,CPRI
114,CPRT
115,CRM
116,CSCO
117,CSX
118,CTAS
119,CTL
120,CTSH
121,CTVA
122,CTXS
123,CVS
124,CVX
125,CXO
126,D
127,DAL
128,DD
129,DE
130,DFS
131,DG
132,DGX
133,DHI
134,DHR
135,DIS
136,DISCA
137,DISCK
138,DISH
139,DLR
140,DLTR
141,DOV
142,DOW
143,DRE
144,DRI
145,DTE
146,DUK
147,DVA
148,DVN
149,DXC
150,EA
151,EBAY
152,ECL
153,ED
154,EFX
155,EIX
156,EL
157,EMN
158,EMR
159,EOG
160,EQIX
161,EQR
162,ES
163,ESS
164,ETFC
165,ETN
166,ETR
167,EVRG
168,EW
169,EXC
170,EXPD
171,EXPE
172,EXR
173,F
174,FANG
175,FAST
176,FB
177,FBHS
178,FCX
179,FDX
180,FE
181,FFIV
182,FIS
183,FISV
184,FITB
185,FLIR
186,FLS
187,FLT
188,FMC
189,FOX
190,FOXA
191,FRC
192,FRT
193,FTI
194,FTNT
195,FTV
196,GD
197,GE
198,GILD
199,GIS
200,GL
201,GLW
202,GM
203,GOOG
204,GOOGL
205,GPC
206,GPN
207,GPS
208,GRMN
209,GS
210,GWW
211,HAL
212,HAS
213,HBAN
214,HBI
215,HCA
216,HD
217,HES
218,HFC
219,HIG
220,HII
221,HLT
222,HOG
223,HOLX
224,HON
225,HP
226,HPE
227,HPQ
228,HRB
229,HRL
230,HSIC
231,HST
232,HSY
233,HUM
234,IBM
235,ICE
236,IDXX
237,IEX
238,IFF
239,ILMN
240,INCY
241,INFO
242,INTC
243,INTU
244,IP
245,IPG
246,IPGP
247,IQV
248,IR
249,IRM
250,ISRG
251,IT
252,ITW
253,IVZ
254,J
255,JBHT
256,JCI
257,JKHY
258,JNJ
259,JNPR
260,JPM
261,JWN
262,K
263,KEY
264,KEYS
265,KHC
266,KIM
267,KLAC
268,KMB
269,KMI
270,KMX
271,KO
272,KR
273,KSS
274,KSU
275,L
276,LB
277,LDOS
278,LEG
279,LEN
280,LH
281,LHX
282,LIN
283,LKQ
284,LLY
285,LMT
286,LNC
287,LNT
288,LOW
289,LRCX
290,LUV
291,LVS
292,LW
293,LYB
294,LYV
295,M
296,MA
297,MAA
298,MAR
299,MAS
300,MCD
301,MCHP
302,MCK
303,MCO
304,MDLZ
305,MDT
306,MET
307,MGM
308,MHK
309,MKC
310,MKTX
311,MLM
312,MMC
313,MMM
314,MNST
315,MO
316,MOS
317,MPC
318,MRK
319,MRO
320,MS
321,MSCI
322,MSFT
323,MSI
324,MTB
325,MTD
326,MU
327,MXIM
328,MYL
329,NBL
330,NCLH
331,NDAQ
332,NEE
333,NEM
334,NFLX
335,NI
336,NKE
337,NLOK
338,NLSN
339,NOC
340,NOV
341,NOW
342,NRG
343,NSC
344,NTAP
345,NTRS
346,NUE
347,NVDA
348,NVR
349,NWL
350,NWS
351,NWSA
352,O
353,ODFL
354,OKE
355,OMC
356,ORCL
357,ORLY
358,OXY
359,PAYC
360,PAYX
361,PBCT
362,PCAR
363,PEAK
364,PEG
365,PEP
366,PFE
367,PFG
368,PG
369,PGR
370,PH
371,PHM
372,PKG
373,PKI
374,PLD
375,PM
376,PNC
377,PNR
378,PNW
379,PPG
380,PPL
381,PRGO
382,PRU
383,PSA
384,PSX
385,PVH
386,PWR
387,PXD
388,PYPL
389,QCOM
390,QRVO
391,RCL
392,RE
393,REG
394,REGN
395,RF
396,RHI
397,RJF
398,RL
399,RMD
400,ROK
401,ROL
402,ROP
403,ROST
404,RSG
405,RTX
406,SBAC
407,SBUX
408,SCHW
409,SEE
410,SHW
411,SIVB
412,SJM
413,SLB
414,SLG
415,SNA
416,SNPS
417,SO
418,SPG
419,SPGI
420,SRE
421,STE
422,STT
423,STX
424,STZ
425,SWK
426,SWKS
427,SYF
428,SYK
429,SYY
430,T
431,TAP
432,TDG
433,TEL
434,TFC
435,TFX
436,TGT
437,TIF
438,TJX
439,TMO
440,TMUS
441,TPR
442,TROW
443,TRV
444,TSCO
445,TSN
446,TT
447,TTWO
448,TWTR
449,TXN
450,TXT
451,UA
452,UAA
453,UAL
454,UDR
455,UHS
456,ULTA
457,UNH
458,UNM
459,UNP
460,UPS
461,URI
462,USB
463,V
464,VAR
465,VFC
466,VIAC
467,VLO
468,VMC
469,VNO
470,VRSK
471,VRSN
472,VRTX
473,VTR
474,VZ
475,WAB
476,WAT
477,WBA
478,WDC
479,WEC
480,WELL
481,WFC
482,WHR
483,WLTW
484,WM
485,WMB
486,WMT
487,WRB
488,WRK
489,WU
490,WY
491,WYNN
492,XEL
493,XLNX
494,XOM
495,XRAY
496,XRX
497,XYL
498,YUM
499,ZBH
500,ZBRA
501,ZION
502,ZTS
