,TGT
% Below High,0.1106
% Held by Institutions,0.7927
52-Wk Range,['70.03 - 130.24']
Annual Dividend $,2.64
Annual Dividend %,0.0233
Ask,117.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.8
Bid,115.91
Bid Size,500.0
Closing Price,115.83
Day Change $,2.47
Day Change %,0.0218
Day High,116.83
Day Low,114.12
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",6.34
Ex-dividend,2020-05-19 00:00:00
Ex-dividend Date,05/19/20
Historical Volatility,0.419
Last (size),6.0
Last (time),6:30p ET 05/08/20
Market Cap,57.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.27
Prev Close,113.36
Shares Outstanding,499.8M
Short Interest,0.0321
Today's Open,114.71
Volume,4267439.0
Volume 10-day Avg,4661719.0
Volume Past Day,(Average)
