,ADI
Price/Earnings (TTM),32.88223
Price/Sales (TTM),6.80629
Price/Book (MRQ),3.35003
Price/Cash Flow (TTM),19.34719
5yr Low,47.24
5yr High,127.3
5yr Avg Return,0.12288333333333332
EPS Growth 5yr,0.1300573
Revenue Growth 5yr,0.1589982
Dividend Growth 5yr,0.07688729999999999
Short Int Current Month,5438087.0
Short Int Prev Month,4998134.0
Short Int Pct of Float,0.014818199999999998
Days to Cover,1.95041
Float,367.0186
Shares Outstanding,368.2201
Institutions Holding Shares,1243.0
% Held by Institutions,0.8730490000000001
FCF Growth 5yr,0.31329166873068004
