,ADI
% Below High,0.13720000000000002
% Held by Institutions,0.873
52-Wk Range,['79.08 - 127.30']
Annual Dividend $,2.48
Annual Dividend %,0.0233
Ask,115.28
Ask Size,100.0
Ask close,109.85
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,105.0
Bid Size,100.0
Bid close,109.74
Change Since Close,0.00| |(0.00%)
Closing Price,109.83
Day Change $,3.48
Day Change %,0.0327
Day High,109.87
Day Low,106.5
Dividend Pay Date,2020-03-10 00:00:00
"EPS (TTM, GAAP)",3.23
Ex-dividend,2020-02-27 00:00:00
Ex-dividend Date,02/27/20
Historical Volatility,0.498
Last (size),56.0
Last (time),4:15p ET 05/08/20
Last Trade,109.83
Market Cap,40.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",32.88
Prev Close,106.35
Shares Outstanding,368.2M
Short Interest,0.0148
Today's Open,107.12
Volume,1286222.0
Volume 10-day Avg,2104032.0
Volume Past Day,(Light)
