,URI
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.5245692405871092
Growth 1yr High Est,-0.26147704590818355
Growth 1yr Consensus Est,-0.39302314324764637
Growth 2yr Low Est,-0.07704972096469553
Growth 2yr High Est,0.011153368937800112
Growth 2yr Consensus Est,-0.03294817601344771
Growth 5yr Low Est,0.16660347003992912
Growth 5yr High Est,0.19287264205398788
Growth 5yr Consensus Est,0.17973805604695853
Growth 5yr Actual/Est,0.15812383186494233
Growth 3yr Historic,0.18397569244814266
