,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2017,Neutral,10.59,,,8.67,,10.84,,9.754999999999999,10.59,,
Year ending 12/2018,Neutral,16.26,,0.5354107648725215,15.92,0.8362168396770473,17.09,0.5765682656826567,16.505,16.26,0.5354107648725215,0.706392552679852
Year ending 12/2019,Neutral,19.52,,0.20049200492004915,15.67,-0.015703517587939753,20.04,0.17261556465769456,17.855,19.52,0.20049200492004915,0.0784560235348774
Year ending 12/2020,Neutral,,11.3,0.0,7.45,-0.5245692405871092,14.8,-0.26147704590818355,11.3,11.3,-0.42110655737704916,-0.39302314324764637
Year ending 12/2021,Neutral,,14.89,0.0,10.21,0.3704697986577181,19.0,0.28378378378378377,14.89,14.89,0.31769911504424786,0.32712679122075095
