,URI
% Below High,0.2968
% Held by Institutions,0.9445999999999999
52-Wk Range,['58.85 - 170.04']
Annual Dividend $,
Annual Dividend %,
Ask,120.59
Ask Size,400.0
B/A Ratio,1.25
B/A Size,500x400
Beta,2.3
Bid,119.59
Bid Size,500.0
Closing Price,119.58
Day Change $,6.85
Day Change %,0.0608
Day High,119.78
Day Low,113.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",15.33
Ex-dividend Date,No dividend
Historical Volatility,0.637
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,8.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.8
Prev Close,112.73
Shares Outstanding,72.0M
Short Interest,0.09939999999999999
Today's Open,115.16
Volume,900850.0
Volume 10-day Avg,1519125.0
Volume Past Day,(Light)
