,NRG
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.052980132450331174
Growth 1yr High Est,0.13242009132420085
Growth 1yr Consensus Est,0.09270011188726601
Growth 2yr Low Est,0.001332833520763077
Growth 2yr High Est,0.24161327146855205
Growth 2yr Consensus Est,0.12147305249465756
Growth 5yr Low Est,1.2914827432909939
Growth 5yr High Est,0.6759536945578053
Growth 5yr Consensus Est,0.9837182189243996
Growth 5yr Actual/Est,0.5634768577412224
Growth 3yr Historic,0.48362611147256557
