,HST
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-1.935483870967742
Growth 1yr High Est,-0.4242424242424243
Growth 1yr Consensus Est,-1.1798631476050832
Growth 2yr Low Est,-1.0970522803114573
Growth 2yr High Est,-0.2384370015948964
Growth 2yr Consensus Est,-0.6677446409531769
Growth 5yr Low Est,-0.3216030632326517
Growth 5yr High Est,0.03322052359279573
Growth 5yr Consensus Est,-0.14419126981992797
Growth 5yr Actual/Est,-0.47907074621485224
Growth 3yr Historic,0.1943042537851478
