,HST
Price/Earnings (TTM),8.79567
Price/Sales (TTM),1.42622
Price/Book (MRQ),1.07707
Price/Cash Flow (TTM),4.85074
5yr Low,7.86
5yr High,22.47
5yr Avg Return,-0.06601666666666667
EPS Growth 5yr,0.0545972
Revenue Growth 5yr,0.005502
Dividend Growth 5yr,0.030026
Short Int Current Month,40435881.0
Short Int Prev Month,36854959.0
Short Int Pct of Float,0.0579763
Days to Cover,3.89846
Float,697.5674
Shares Outstanding,705.8817
Institutions Holding Shares,770.0
% Held by Institutions,1.023095
FCF Growth 5yr,0.09698810045229747
