,MLM
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.28961175236096537
Growth 1yr High Est,0.08137254901960778
Growth 1yr Consensus Est,-0.1041196016706788
Growth 2yr Low Est,-0.1573612676132744
Growth 2yr High Est,0.10913595719339408
Growth 2yr Consensus Est,-0.02411265520994016
Growth 5yr Low Est,-0.018601919492072867
Growth 5yr High Est,0.13523305178822312
Growth 5yr Consensus Est,0.05831556614807513
Growth 5yr Actual/Est,0.0837848276940924
Growth 3yr Historic,0.08643017279192611
