,MLM
% Above Low,0.3073
% Held by Institutions,0.9690000000000001
52-Wk Range,['135.08 - 281.82']
Annual Dividend $,2.2
Annual Dividend %,0.012199999999999999
Ask,186.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,174.02
Bid Size,100.0
Closing Price,176.59
Day Change $,-3.1
Day Change %,-0.0173
Day High,184.03
Day Low,175.73
Dividend Pay Date,2020-03-31 00:00:00
"EPS (TTM, GAAP)",9.48
Ex-dividend,2020-02-28 00:00:00
Ex-dividend Date,02/28/20
Historical Volatility,0.48200000000000004
Last (size),23.0
Last (time),6:30p ET 05/08/20
Market Cap,11.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.95
Prev Close,179.69
Shares Outstanding,62.2M
Short Interest,0.0329
Today's Open,183.72
Volume,564435.0
Volume 10-day Avg,741698.0
Volume Past Day,(Light)
