,HBI
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.8620689655172413
Growth 1yr High Est,-0.4044943820224719
Growth 1yr Consensus Est,-0.6332816737698566
Growth 2yr Low Est,0.9439655172413796
Growth 2yr High Est,0.07133771464914135
Growth 2yr Consensus Est,0.5076516159452604
Growth 5yr Low Est,0.44829112542327737
Growth 5yr High Est,0.014313545969259323
Growth 5yr Consensus Est,0.23130233569626835
Growth 5yr Actual/Est,0.02867995643646723
Growth 3yr Historic,-0.02118746780595704
