,HBI
% Above Low,0.36060000000000003
% Held by Institutions,1.0735
52-Wk Range,['6.96 - 17.92']
Annual Dividend $,0.6
Annual Dividend %,0.0644
Ask,9.64
Ask Size,15000.0
B/A Ratio,0.006666666666666667
B/A Size,100x15000
Beta,1.5
Bid,9.36
Bid Size,100.0
Closing Price,9.47
Day Change $,0.16
Day Change %,0.0172
Day High,9.64
Day Low,9.34
Dividend Pay Date,2020-06-09 00:00:00
"EPS (TTM, GAAP)",1.4
Ex-dividend,2020-05-18 00:00:00
Ex-dividend Date,05/18/20
Historical Volatility,0.52
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,3.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",6.63
Prev Close,9.31
Shares Outstanding,348.0M
Short Interest,0.1589
Today's Open,9.45
Volume,6021554.0
Volume 10-day Avg,9096730.0
Volume Past Day,(Light)
