,WHR
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.4549045424621462
Growth 1yr High Est,-0.2535483870967742
Growth 1yr Consensus Est,-0.3542264647794602
Growth 2yr Low Est,-0.04870830987841607
Growth 2yr High Est,0.02145398276967686
Growth 2yr Consensus Est,-0.013627163554369603
Growth 5yr Low Est,0.01827045675902758
Growth 5yr High Est,0.03968434315623906
Growth 5yr Consensus Est,0.02897739995763332
Growth 5yr Actual/Est,0.027165691907127282
Growth 3yr Historic,0.03968921508758588
