,WHR
Price/Earnings (TTM),7.7172
Price/Sales (TTM),0.35026
Price/Book (MRQ),2.28144
Price/Cash Flow (TTM),5.15811
5yr Low,64.0
5yr High,202.99
5yr Avg Return,-0.03801666666666666
EPS Growth 5yr,0.1901832
Revenue Growth 5yr,0.0054456
Dividend Growth 5yr,0.1056334
Short Int Current Month,7248898.0
Short Int Prev Month,6276890.0
Short Int Pct of Float,0.11615790000000001
Days to Cover,7.70938
Float,61.38
Shares Outstanding,62.16307
Institutions Holding Shares,770.0
% Held by Institutions,0.9881570000000001
FCF Growth 5yr,0.05505111419585314
