,WHR
% Above Low,0.7594
% Held by Institutions,0.9882
52-Wk Range,['64.00 - 163.64']
Annual Dividend $,4.8
Annual Dividend %,0.0449
Ask,114.2
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,2.0
Bid,105.0
Bid Size,300.0
Closing Price,112.6
Day Change $,5.7
Day Change %,0.0533
Day High,114.02
Day Low,108.4
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",14.59
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.5860000000000001
Last (size),3200.0
Last (time),6:30p ET 05/08/20
Market Cap,7.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.72
Prev Close,106.9
Shares Outstanding,62.2M
Short Interest,0.1162
Today's Open,110.09
Volume,703464.0
Volume 10-day Avg,1105223.0
Volume Past Day,(Light)
