,TXN
Price/Earnings (TTM),22.06307
Price/Sales (TTM),7.47584
Price/Book (MRQ),13.70187
Price/Cash Flow (TTM),17.54386
5yr Low,43.49
5yr High,135.7
5yr Avg Return,0.15988333333333332
EPS Growth 5yr,0.1528196
Revenue Growth 5yr,0.0197203
Dividend Growth 5yr,0.2095301
Short Int Current Month,19460031.0
Short Int Prev Month,19379584.0
Short Int Pct of Float,0.0208996
Days to Cover,3.10663
Float,915.5433
Shares Outstanding,917.7726
Institutions Holding Shares,2085.0
% Held by Institutions,0.855077
FCF Growth 5yr,0.09208267224271435
