,TXN
% Below High,0.1525
% Held by Institutions,0.8551000000000001
52-Wk Range,['93.09 - 135.70']
Annual Dividend $,3.6
Annual Dividend %,0.0317
Ask,115.69
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.1
Bid,115.04
Bid Size,500.0
Closing Price,115.0
Day Change $,1.35
Day Change %,0.011899999999999999
Day High,115.54
Day Low,112.75
Dividend Pay Date,2020-05-18 00:00:00
"EPS (TTM, GAAP)",5.21
Ex-dividend,2020-05-01 00:00:00
Ex-dividend Date,05/01/20
Historical Volatility,0.43
Last (size),70.0
Last (time),4:15p ET 05/08/20
Market Cap,105.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.06
Prev Close,113.65
Shares Outstanding,917.8M
Short Interest,0.0209
Today's Open,113.96
Volume,4331296.0
Volume 10-day Avg,4953743.0
Volume Past Day,(Below Average)
