,CMA
Next Earnings Announcement,2020-07-15 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-1.2734375
Growth 1yr High Est,-0.6134347275031686
Growth 1yr Consensus Est,-0.9434361137515843
Growth 2yr Low Est,-1.6129092261904763
Growth 2yr High Est,0.11951214444513714
Growth 2yr Consensus Est,-0.7466985408726696
Growth 5yr Low Est,-0.6551307903303224
Growth 5yr High Est,0.20722668461412957
Growth 5yr Consensus Est,-0.2239520528580964
Growth 5yr Actual/Est,0.5186091155635439
Growth 3yr Historic,0.1514151493930906
