,CMA
Price/Earnings (TTM),6.11468
Price/Sales (TTM),1.38266
Price/Book (MRQ),0.60803
Price/Cash Flow (TTM),4.97299
5yr Low,24.28
5yr High,102.66
5yr Avg Return,0.021066666666666657
EPS Growth 5yr,0.2001672
Revenue Growth 5yr,0.09910930000000001
Dividend Growth 5yr,0.2866613
Short Int Current Month,3886841.0
Short Int Prev Month,4890094.0
Short Int Pct of Float,0.0279872
Days to Cover,1.29404
Float,137.6537
Shares Outstanding,139.0347
Institutions Holding Shares,732.0
% Held by Institutions,0.8494710000000001
FCF Growth 5yr,0.25692163134260565
