,YUM
% Above Low,0.5683
% Held by Institutions,0.7643000000000001
52-Wk Range,['54.95 - 119.72']
Annual Dividend $,1.88
Annual Dividend %,0.0222
Ask,86.89
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.9
Bid,86.18
Bid Size,400.0
Closing Price,86.18
Day Change $,1.58
Day Change %,0.0187
Day High,86.58
Day Low,85.0
Dividend Pay Date,2020-03-06 00:00:00
"EPS (TTM, GAAP)",3.58
Ex-dividend,2020-02-13 00:00:00
Ex-dividend Date,02/13/20
Historical Volatility,0.414
Last (size),49.0
Last (time),6:30p ET 05/08/20
Market Cap,25.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.08
Prev Close,84.6
Shares Outstanding,301.0M
Short Interest,0.0151
Today's Open,86.04
Volume,1949324.0
Volume 10-day Avg,2130557.0
Volume Past Day,(Average)
