,YUM
Price/Earnings (TTM),24.07511
Price/Sales (TTM),4.627
Price/Book (MRQ),
Price/Cash Flow (TTM),21.12294
5yr Low,54.95
5yr High,119.72
5yr Avg Return,0.010466666666666662
EPS Growth 5yr,0.1323434
Revenue Growth 5yr,-0.0320487
Dividend Growth 5yr,0.0202184
Short Int Current Month,4524012.0
Short Int Prev Month,4565865.0
Short Int Pct of Float,0.015062599999999999
Days to Cover,1.54196
Float,300.4255
Shares Outstanding,300.986
Institutions Holding Shares,1294.0
% Held by Institutions,0.764341
FCF Growth 5yr,0.07636687157429534
