,YUM
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.4491525423728814
Growth 1yr High Est,-0.17553191489361697
Growth 1yr Consensus Est,-0.3123422286332492
Growth 2yr Low Est,0.0549109083007388
Growth 2yr High Est,0.10255662319835279
Growth 2yr Consensus Est,0.0787337657495458
Growth 5yr Low Est,0.0549109083007388
Growth 5yr High Est,0.10255662319835279
Growth 5yr Consensus Est,0.0787337657495458
Growth 5yr Actual/Est,0.07833247821195521
Growth 3yr Historic,0.04770494074516152
