,TSN
% Above Low,0.4186
% Held by Institutions,0.8786
52-Wk Range,['42.57 - 94.24']
Annual Dividend $,1.68
Annual Dividend %,0.029300000000000003
Ask,60.96
Ask Size,3000.0
B/A Ratio,0.03333333333333333
B/A Size,100x3000
Beta,0.7
Bid,60.35
Bid Size,100.0
Closing Price,60.39
Day Change $,3.13
Day Change %,0.0547
Day High,61.1
Day Low,57.82
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",5.42
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.461
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,22.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.15
Prev Close,57.26
Shares Outstanding,364.3M
Short Interest,0.0166
Today's Open,57.96
Volume,5191779.0
Volume 10-day Avg,4861214.0
Volume Past Day,(Average)
