,IBM
Price/Earnings (TTM),11.8035
Price/Sales (TTM),1.40637
Price/Book (MRQ),5.38223
Price/Cash Flow (TTM),6.98094
5yr Low,90.56
5yr High,182.79
5yr Avg Return,-0.03611666666666666
EPS Growth 5yr,-0.0720325
Revenue Growth 5yr,-0.036258
Dividend Growth 5yr,0.08633660000000001
Short Int Current Month,18546011.0
Short Int Prev Month,16889957.0
Short Int Pct of Float,0.020900500000000002
Days to Cover,3.66857
Float,886.9279
Shares Outstanding,887.892
Institutions Holding Shares,2549.0
% Held by Institutions,0.554203
FCF Growth 5yr,-0.017793711983248174
