,MKTX
Price/Earnings (TTM),80.45756
Price/Sales (TTM),32.78887
Price/Book (MRQ),22.84495
Price/Cash Flow (TTM),71.18215
5yr Low,83.89
5yr High,491.92
5yr Avg Return,0.35525
EPS Growth 5yr,0.2228364
Revenue Growth 5yr,0.1424245
Dividend Growth 5yr,0.2609273
Short Int Current Month,932036.0
Short Int Prev Month,838497.0
Short Int Pct of Float,0.0256147
Days to Cover,3.33178
Float,36.38032
Shares Outstanding,37.91021
Institutions Holding Shares,691.0
% Held by Institutions,0.9535290000000001
FCF Growth 5yr,0.24034341000353096
