,MKTX
% Below High,0.0154
% Held by Institutions,0.9534999999999999
52-Wk Range,['275.12 - 491.92']
Annual Dividend $,2.4
Annual Dividend %,0.005
Ask,484.98
Ask Size,800.0
B/A Ratio,0.75
B/A Size,600x800
Beta,0.6
Bid,484.32
Bid Size,600.0
Closing Price,484.32
Day Change $,3.57
Day Change %,0.0074
Day High,490.81
Day Low,475.84
Dividend Pay Date,2020-05-27 00:00:00
"EPS (TTM, GAAP)",5.98
Ex-dividend,2020-05-12 00:00:00
Ex-dividend Date,05/12/20
Historical Volatility,0.47100000000000003
Last (size),2.0
Last (time),4:15p ET 05/08/20
Market Cap,18.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",80.46
Prev Close,480.75
Shares Outstanding,37.9M
Short Interest,0.0256
Today's Open,482.0
Volume,298482.0
Volume 10-day Avg,286239.0
Volume Past Day,(Average)
