,IT
Price/Earnings (TTM),48.26919
Price/Sales (TTM),2.60067
Price/Book (MRQ),11.76082
Price/Cash Flow (TTM),24.80668
5yr Low,76.91
5yr High,171.78
5yr Avg Return,0.0765
EPS Growth 5yr,0.0482991
Revenue Growth 5yr,0.1599784
Dividend Growth 5yr,
Short Int Current Month,1675294.0
Short Int Prev Month,2073499.0
Short Int Pct of Float,0.019439599999999998
Days to Cover,2.35374
Float,86.27856
Shares Outstanding,89.1744
Institutions Holding Shares,661.0
% Held by Institutions,0.985437
FCF Growth 5yr,0.2214441500670526
