,IT
% Above Low,0.5938
% Held by Institutions,0.9854
52-Wk Range,['76.91 - 171.78']
Annual Dividend $,
Annual Dividend %,
Ask,153.0
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,1.5
Bid,80.0
Bid Size,100.0
Closing Price,122.58
Day Change $,-1.23
Day Change %,-0.009899999999999999
Day High,126.48
Day Low,120.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.56
Ex-dividend Date,No dividend
Historical Volatility,0.474
Last (size),4200.0
Last (time),6:30p ET 05/08/20
Market Cap,10.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",48.27
Prev Close,123.81
Shares Outstanding,89.2M
Short Interest,0.0194
Today's Open,125.81
Volume,795807.0
Volume 10-day Avg,653369.0
Volume Past Day,(Heavy Day)
