,INTU
% Below High,0.0864
% Held by Institutions,0.8764
52-Wk Range,['187.68 - 306.89']
Annual Dividend $,2.12
Annual Dividend %,0.0075
Ask,284.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,280.4
Bid Size,100.0
Closing Price,280.36
Day Change $,-0.44
Day Change %,-0.0016
Day High,282.96
Day Low,277.16
Dividend Pay Date,2020-04-20 00:00:00
"EPS (TTM, GAAP)",6.18
Ex-dividend,2020-04-09 00:00:00
Ex-dividend Date,04/09/20
Historical Volatility,0.44799999999999995
Last (size),30.0
Last (time),4:15p ET 05/08/20
Market Cap,73.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",45.47
Prev Close,280.8
Shares Outstanding,260.7M
Short Interest,0.0108
Today's Open,282.0
Volume,1209530.0
Volume 10-day Avg,1098477.0
Volume Past Day,(Above Average)
