,INTU
Price/Earnings (TTM),45.47022
Price/Sales (TTM),10.26315
Price/Book (MRQ),19.6279
Price/Cash Flow (TTM),39.36784
5yr Low,79.63
5yr High,306.89
5yr Avg Return,0.20415000000000003
EPS Growth 5yr,0.1500741
Revenue Growth 5yr,0.0984052
Dividend Growth 5yr,0.19456050000000003
Short Int Current Month,2724892.0
Short Int Prev Month,2731035.0
Short Int Pct of Float,0.0108392
Days to Cover,1.85426
Float,251.3922
Shares Outstanding,260.4895
Institutions Holding Shares,1489.0
% Held by Institutions,0.876424
FCF Growth 5yr,0.14180294187043738
