,KSS
Next Earnings Announcement,2020-05-19 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-1.869198312236287
Growth 1yr High Est,-0.5773195876288659
Growth 1yr Consensus Est,-1.2232589499325766
Growth 2yr Low Est,-1.61542439883659
Growth 2yr High Est,0.26012069399044513
Growth 2yr Consensus Est,-0.6776518524230724
Growth 5yr Low Est,-0.7502178529687247
Growth 5yr High Est,0.1823096190061852
Growth 5yr Consensus Est,-0.2839541169812698
Growth 5yr Actual/Est,-2.7793694670939626
Growth 3yr Historic,0.0510931639959086
