,CFG
Next Earnings Announcement,2020-07-17 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-1.5973333333333333
Growth 1yr High Est,-0.46596858638743455
Growth 1yr Consensus Est,-1.031650959860384
Growth 2yr Low Est,-1.7049166666666666
Growth 2yr High Est,0.3454470793553025
Growth 2yr Consensus Est,-0.6797347936556821
Growth 5yr Low Est,-0.74188531102096
Growth 5yr High Est,0.28177593836093867
Growth 5yr Consensus Est,-0.23005468633001072
Growth 5yr Actual/Est,0.39027203845489183
Growth 3yr Historic,0.11168186222692034
