,CFG
% Above Low,0.5722
% Held by Institutions,0.9787
52-Wk Range,['14.12 - 41.29']
Annual Dividend $,1.56
Annual Dividend %,0.07339999999999999
Ask,23.0
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,1.8
Bid,21.91
Bid Size,1000.0
Change Since Close,0.00| |(0.00%)
Closing Price,22.2
Day Change $,0.95
Day Change %,0.0447
Day High,22.42
Day Low,21.7
Dividend Pay Date,2020-05-13 00:00:00
"EPS (TTM, GAAP)",2.92
Ex-dividend,2020-04-28 00:00:00
Ex-dividend Date,04/28/20
Historical Volatility,0.649
Last (size),25.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,9.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.28
Prev Close,21.25
Shares Outstanding,426.6M
Short Interest,0.019799999999999998
Today's Open,21.93
Volume,4670401.0
Volume 10-day Avg,5750404.0
Volume Past Day,(Below Average)
