,CFG
Price/Earnings (TTM),7.27717
Price/Sales (TTM),1.38185
Price/Book (MRQ),0.4448
Price/Cash Flow (TTM),4.51893
5yr Low,14.12
5yr High,48.23
5yr Avg Return,0.029800000000000004
EPS Growth 5yr,0.19676590000000002
Revenue Growth 5yr,0.1105369
Dividend Growth 5yr,0.6854186
Short Int Current Month,8430557.0
Short Int Prev Month,7756021.0
Short Int Pct of Float,0.0197777
Days to Cover,1.50847
Float,424.6819
Shares Outstanding,426.5865
Institutions Holding Shares,905.0
% Held by Institutions,0.978703
FCF Growth 5yr,0.08373245179923065
