,BIIB
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,31.0
Growth 1yr Low Est,-0.04442344045368618
Growth 1yr High Est,0.025774688676513113
Growth 1yr Consensus Est,-0.009324375888586534
Growth 2yr Low Est,-0.06045768132146884
Growth 2yr High Est,0.04761348776005214
Growth 2yr Consensus Est,-0.006422096780708347
Growth 5yr Low Est,0.0796800257462966
Growth 5yr High Est,0.14238300008047866
Growth 5yr Consensus Est,0.11103151291338763
Growth 5yr Actual/Est,0.11329413665593224
Growth 3yr Historic,0.1206453811718835
