,BIIB
5yr Low,215.78
5yr High,420.99
5yr Avg Return,-0.032466666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.0818199
Dividend Growth 5yr,
FCF Growth 5yr,0.2222989548129463
