,ISRG
% Below High,0.13119999999999998
% Held by Institutions,0.8903
52-Wk Range,['360.50 - 619.00']
Annual Dividend $,
Annual Dividend %,
Ask,540.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,515.01
Bid Size,100.0
Closing Price,537.77
Day Change $,1.83
Day Change %,0.0034000000000000002
Day High,544.44
Day Low,534.74
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",11.6
Ex-dividend Date,No dividend
Historical Volatility,0.42600000000000005
Last (size),5.0
Last (time),3:59p ET 05/08/20
Market Cap,62.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",46.21
Prev Close,535.94
Shares Outstanding,116.6M
Short Interest,0.026000000000000002
Today's Open,542.92
Volume,925411.0
Volume 10-day Avg,630229.0
Volume Past Day,(Heavy Day)
