,ZBRA
Price/Earnings (TTM),25.42935
Price/Sales (TTM),2.88459
Price/Book (MRQ),7.46422
Price/Cash Flow (TTM),18.96618
5yr Low,46.13
5yr High,260.4
5yr Avg Return,0.21995
EPS Growth 5yr,0.7403125
Revenue Growth 5yr,0.2183707
Dividend Growth 5yr,
Short Int Current Month,1159131.0
Short Int Prev Month,1513202.0
Short Int Pct of Float,0.0220946
Days to Cover,2.92123
Float,52.49703
Shares Outstanding,53.09156
Institutions Holding Shares,815.0
% Held by Institutions,0.9037900000000001
FCF Growth 5yr,-4.916488360799791
