,ZBRA
% Below High,0.06709999999999999
% Held by Institutions,0.9037999999999999
52-Wk Range,['150.06 - 260.40']
Annual Dividend $,
Annual Dividend %,
Ask,248.0
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.6
Bid,200.0
Bid Size,400.0
Closing Price,242.92
Day Change $,9.06
Day Change %,0.0387
Day High,243.33
Day Low,235.27
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",9.55
Ex-dividend Date,No dividend
Historical Volatility,0.522
Last (size),1200.0
Last (time),4:15p ET 05/08/20
Market Cap,12.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.43
Prev Close,233.86
Shares Outstanding,53.1M
Short Interest,0.022099999999999998
Today's Open,236.0
Volume,270549.0
Volume 10-day Avg,447808.0
Volume Past Day,(Light)
